"","species","range","lat_poleward","abund","bleach","restore","cat_growthrate","cat_corallitesize","cat_colonydiameter","cat_skeletaldensity","cat_colonyheight","cat_SA_vol","cat_spacesize","clipperton","species_n"
"190","Galaxea acrhelia",0.10484490970694,0.620780515406727,0.5,0.7015,1,2,2,3,3,4,3,4,0,"Species 174"
"191","Galaxea astreata",0.554058828276632,0.793298716184114,1,0.5241,0.833333333333333,1,2,3,3,3,1,1,0,"Species 175"
"192","Galaxea fascicularis",0.648817690365594,0.844755543133355,1,0.7457,0.833333333333333,1,3,5,3,4,1,1,0,"Species 176"
"193","Galaxea horrescens",0.321424134398171,0.798846753322354,0.5,0.7149,1,1,2,4,3,4,3,4,0,"Species 177"
"194","Galaxea longisepta",0.137582268478301,0.59541686379922,0.1,0.6791,0.5,1,3,1,3,1,2,1,0,"Species 178"
"195","Gardineroseris planulata",0.888446180588427,0.805034894716378,0.5,0.7669,0.833333333333333,2,2,2,3,4,1,1,0,"Species 179"
"196","Goniastrea edwardsi",0.583011208316522,0.850849907662476,1,0.4309,0.833333333333333,2,2,2,2,4,1,1,0,"Species 180"
"197","Goniastrea favulus",0.425662885241119,0.732983621673896,0.5,0.8505,0.833333333333333,1,3,2,3,4,1,1,0,"Species 181"
"198","Goniastrea pectinata",0.689211443175603,0.856330898409204,1,0.5312,0.833333333333333,2,4,2,3,3,1,1,0,"Species 182"
"199","Goniastrea retiformis",0.608270541751459,0.846318511314682,1,0.4315,0.833333333333333,2,3,2,3,4,1,1,0,"Species 183"
"200","Goniastrea stelligera",0.72567178389687,0.859269184293301,1,0.5082,0.833333333333333,2,2,3,2,4,1,1,0,"Species 184"
"201","Goniopora columna",0.599780253140967,0.783305601046739,1,0.6317,0.166666666666667,3,2,2,2,5,1,5,0,"Species 185"
"202","Goniopora djiboutiensis",0.580396901376282,0.849185066493735,1,0.7698,0.166666666666667,3,2,2,2,5,1,5,0,"Species 186"
"203","Goniopora eclipsensis",0.12278491943036,0.700931990902295,0.5,0.7214,0.166666666666667,3,2,2,2,5,1,5,0,"Species 187"
"204","Goniopora fruticosa",0.240578960215219,0.809626906494867,0.5,0.7214,0.5,1,2,1,3,1,2,1,0,"Species 188"
"205","Goniopora lobata",0.605318602480067,0.876348342095618,1,0.8034,0.166666666666667,3,2,2,2,5,1,5,0,"Species 189"
"206","Goniopora minor",0.634153302702503,0.805829124654792,1,0.7214,0.5,1,2,1,3,1,2,1,0,"Species 190"
"207","Goniopora norfolkensis",0.165002899909389,0.801348132436399,0.5,0.7214,0.5,1,2,1,3,1,2,1,0,"Species 191"
"208","Goniopora palmensis",0.123131113466156,0.612361772986557,1,0.7214,0.833333333333333,2,2,2,2,3,1,1,0,"Species 192"
"209","Goniopora pandoraensis",0.302209894601583,0.748465994283269,0.5,0.7214,0.166666666666667,3,2,2,2,5,1,5,0,"Species 193"
"210","Goniopora pendulus",0.162706913009472,0.848271708071351,0.5,0.7214,0.833333333333333,2,2,2,2,4,1,1,0,"Species 194"
"211","Goniopora somaliensis",0.658347302033222,0.790296865632611,0.5,0.7214,0.5,1,2,4,3,1,2,1,0,"Species 195"
"212","Goniopora stokesi",0.576606304219389,0.783305601046739,0.5,0.8625,0.166666666666667,3,2,1,2,5,1,5,0,"Species 196"
"213","Goniopora tenuidens",0.580792313176844,0.807062423070065,1,0.6071,0.833333333333333,2,2,2,2,4,1,1,0,"Species 197"
"214","Halomitra pileus",0.479204300077959,0.724570969255207,0.5,1,0.833333333333333,2,2,2,3,4,1,1,0,"Species 198"
"215","Heliofungia actiniformis",0.354780045987818,0.817820749429122,1,1,0.833333333333333,2,5,1,3,4,1,1,0,"Species 199"
"216","Herpolitha limax",0.691283443935919,0.823794171619843,1,1,0.833333333333333,2,5,1,4,4,1,1,0,"Species 200"
"219","Hydnophora exesa",0.632308614003921,0.865747681241783,1,0.6993,0.833333333333333,2,2,2,3,3,1,1,0,"Species 201"
"220","Hydnophora grandis",0.308160558957566,0.614793925538781,0.5,0.7823,0.5,3,2,3,3,2,3,2,0,"Species 202"
"221","Hydnophora microconos",0.733993861187068,0.873943648463482,0.5,0.8978,0.833333333333333,2,3,3,2,4,1,1,0,"Species 203"
