"","species","Ocean basin","Zooxanthellate","Growth form typical","Substrate attachment","Coloniality","Corallite width maximum","Mode of larval development","Sexual system","Colony maximum diameter","Growth rate","Symbiodinium sp. in propagules","Oocyte size at maturity","Skeletal density","Symbiodinium density","Calcification rate","Phosphorus concentration","Nitrogen concentration","Polyps per area","RNA:DNA ratio","Chlorophyll a","Total biomass","Protein biomass","Dark respiration","Polyp fecundity","Gross photosynthesis","Colony area","Lipid content","Size at maturity","Colony shape factor","Generation time","Age at maturity","Propagule size on release","Eggs per area","Mature egg diameter","Egg size","Ratio of female to male gonads","Abundance GBR","Water clarity preference","Species age phylogeny","Genus fossil age","Range size"
"64","Acropora hemprichii","pacific","zooxanthellate","branching_open","attached","colonial",1.2,"spawner","hermaphrodite",200,9.14111111111111,NA,NA,NA,NA,NA,0.2176038325,0.675022832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",2.06933019315419,52.44,14652216.3565
"65","Acropora hoeksemai","pacific","zooxanthellate","branching_open","attached","colonial",1.1,NA,NA,333.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",0.900913203624174,52.44,7973226.1195
"66","Acropora horrida","pacific","zooxanthellate","branching_closed","attached","colonial",1.5,"spawner","hermaphrodite",200,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","turbid",2.03916998081564,52.44,63786566.725
"67","Acropora humilis","pacific","zooxanthellate","digitate","attached","colonial",1.8,"spawner","hermaphrodite",NA,20.2166666666667,NA,507,1.44538461538462,1950000,NA,0.185577051,1.01782225577778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",2.03575047328919,52.44,68708933.785
"68","Acropora hyacinthus","pacific","zooxanthellate","tables_or_plates","attached","colonial",1.1,"spawner","hermaphrodite",300,80.6333333333333,NA,484,1.28,49073333.3333333,NA,0.162552413266667,0.769343654666667,112,1.18534675575,NA,NA,NA,NA,5.576,NA,1369.60832627667,NA,NA,20.5445981144597,NA,NA,NA,NA,NA,0.0976433333333333,1.62061290322581,"common","clear",0.588742378677986,52.44,77111234.445
"69","Acropora indonesia","pacific","zooxanthellate","branching_open","attached","colonial",1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.24690789613032,52.44,8840549.138
"70","Acropora inermis","pacific","zooxanthellate","branching_closed","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"turbid",1.1949437886425,52.44,35601900.45
"71","Acropora insignis","pacific","zooxanthellate","branching_closed","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,1490000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.98762848113039,52.44,27863810.025
"72","Acropora intermedia","pacific","zooxanthellate","branching_open","attached","colonial",1.5,"spawner","hermaphrodite",500,NA,"no",420,NA,NA,NA,0.151666659333333,1.41910386033333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",3.26136952521733,52.44,59433259.805
"73","Acropora irregularis","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.79826478359895,52.44,22507798.755
